  x              1/x               f
0.0000            inf         170.6911
0.1053         9.5000         320.3281
0.2105         4.7500         455.0145
0.3158         3.1667         576.2441
0.4211         2.3750         685.3613
0.5263         1.9000         783.5764
0.6316         1.5833         871.9785
0.7368         1.3571         951.5482
0.8421         1.1875        1023.1679
0.9474         1.0556        1087.6319
1.0526         0.9500        1145.6552
1.1579         0.8636        1197.8812
1.2632         0.7917        1244.8892
1.3684         0.7308        1287.2005
1.4737         0.6786        1325.2844
1.5789         0.6333        1359.5632
1.6842         0.5938        1390.4171
1.7895         0.5588        1418.1884
1.8947         0.5278        1443.1850
2.0000         0.5000        1465.6841
